source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,pmra,pmdec,radial_velocity
418551920284673408,10.12724197930297,56.53718879378639,14.090976249252234,1.9425238,1.1434835,49.12564571845064,-31.595374311196693,
4357027756659697664,243.58621066034064,-3.694967708333353,20.411292350652413,2.0164251,1.5633104,-45.34001940987892,-144.43272215287442,
5589311357728452608,109.28559423278779,-37.097444485279574,5.762063161817684,2.0832374,1.5425804,-11.561999924300897,6.520111466968526,
4993479684438433792,6.57215550145885,-42.30782032569077,39.91825815729799,2.0899775,1.2694821,176.2682926212513,-398.87213472266046,
4038055447778237312,274.4060904518451,-36.76242931758906,23.885852068095137,2.1164951,1.8272674,-131.80407046542277,-166.30893037257962,
1279798794197267072,221.24648617076684,27.074315757773466,13.82667260913517,2.1833525,1.1840065,-50.81825554241812,21.02352084436887,
160886283751041408,74.24843702624405,33.16601472318802,7.249065034494049,2.1975422,1.4451852,3.8169754472223425,-17.786274545345467,
4302054339959905920,296.56498571046956,10.613252703828636,5.589928355256642,2.223692,1.4782449,16.232737511703284,-1.354232773419788,
1222646935698492160,233.67254376294218,26.714295174747274,42.24080076261629,2.2693703,0.529583,118.92724128982546,-87.71096348146563,
5111187420714898304,59.507642022011794,-13.509012610930261,17.00162879163835,2.2707934,1.689486,62.22700221870858,-112.00607671028064,
1563590579347125632,200.98237336533253,54.92525907860076,40.213284471127004,2.282647,0.5343387,122.46748022957269,-22.68188642875364,
4049506483413484672,275.24868220695066,-29.82822386700995,7.846769491115783,2.296982,1.4261992,33.211995167893946,-27.36096961705406,
6227443304915069056,226.0172005141403,-25.2821590562471,12.538654525627177,2.3034124,1.9100549,-73.48399761123272,-42.632144437537974,
804753180515722624,155.58176101601168,41.49966386040507,17.798718499448466,2.32451,1.645093,-73.74880343645458,28.259324999144575,
4429785739602747392,236.0675744297602,6.4258326669088035,43.94497411580315,2.3253543,1.3348399,133.92233920144864,45.55042108403326,
2106630885454013184,283.83388403904866,43.946451132674866,10.440410406499382,2.3616831,2.4237096,20.136233498600635,81.34922542993326,
5922444483103229952,261.3248860596135,-55.529996917051356,4.560053792219337,2.3912818,1.4427056,-8.039169337949994,-25.92658289598858,
6407842789021567872,334.62477862508103,-60.25977542657531,17.732356212677455,2.396663,1.438695,-76.99973801843797,-32.82300860348311,
856096765753549056,165.46097417209683,56.38257749355825,38.60307997876443,2.3985364,0.49357748,79.9586126663101,32.364540942038154,
3704342295607157120,193.89877797423057,3.3972301950318524,17.4064804454874,2.4037774,1.8989389,-469.7138768334123,-53.70998944969009,
4473334474604992384,265.86794661822,4.568012245771951,39.22844495769126,2.4423249,1.2892413,-41.79318180686009,159.42988775386635,
3501215734352781440,188.59681758232725,-23.397012233844624,22.00492733579523,2.448283,1.0926499,1.1162392204898848,-56.70396951863153,
4629125170492116224,56.810583950214635,-74.23845269276111,15.07934675483247,2.4740036,1.8262122,50.79864554281097,114.79143876879375,
702343774145932544,140.2625728404832,34.39263287351821,14.704195701416294,2.488654,1.6008933,-218.72256286031558,16.555167975677605,
1625209684868707328,245.9977069286059,61.514463511632556,35.71632757836309,2.494415,1.0970564,-16.394368866203294,57.09390745268847,
6126469654585981952,182.08939329942342,-50.72248107334658,5.7179329578318505,2.508257,0.25244522,-42.613146390430266,-11.134816926988861,
5917537534527580160,254.65491303478962,-55.99029939641002,5.772484443283007,2.5107856,1.6126139,-17.51823774702156,-36.120035038888346,
5361403934691772160,161.6928645043898,-49.420476913951866,29.050584144755422,2.5133939,1.1023693,68.53673565077756,-48.81915516222894,
4076915349846977664,276.99244340050245,-25.422523033637848,42.91983428306095,2.5435061,1.2009923,-46.151553394133586,-185.06736012548174,
5306951892646516992,142.80522590576416,-57.03435042166543,14.623396609093676,2.5465453,1.647223,-32.615183222963346,5.856565752556893,
1297565458994346240,247.55452931903397,21.48954466071868,22.002254438170677,2.547638,1.1411304,-98.82186841087012,-14.869239096336226,
1415230383034813824,262.6080575941285,52.301443329615346,8.919816494942994,2.5482864,1.1480441,-16.12587706896328,11.357536206993439,
2971266110612490624,83.18258484252563,-17.822282254766677,1.6817195427885396,2.5535128,0.6914878,3.3641908258333144,1.4840057540654934,
4337352305320149760,249.28979755823173,-10.566976077121021,7.408845727983025,2.5565956,0.44186306,10.464966834036836,24.741567563021235,
5099455184968674560,49.87942190770887,-21.75771998267506,10.615268776173938,2.5895581,2.011383,52.7739441986668,32.718263924053616,
5502164890740285696,102.48426657164553,-50.61484787877496,18.757713279082175,2.6184993,1.3124249,32.618184414772365,-69.56573406322882,
3736865265441207424,195.54291476874843,10.95923674149768,30.210957333166505,2.619051,1.1567237,-273.792912720649,19.803882348563043,
2968097043228517120,82.06131804802973,-20.759815662845018,20.869734045876413,2.627176,1.0872264,-5.747658161056199,-83.64984625289725,
3490234568129160704,182.53082136956726,-22.619722010989726,10.598376382247242,2.6297014,1.384757,-72.01853020892453,10.636922874839017,
5512070906394195968,112.30725962073404,-43.300592607109294,17.023374330493326,2.6405158,1.6322141,-61.62816586114198,189.62722040883722,
3384529341302871296,100.98300597068413,25.131074836391473,3.747653899374491,2.6483977,1.4132671,-4.853370650365749,-11.780095106031592,
447071293401293056,46.19914439438418,53.50642323794812,14.125159961030231,2.651,1.0181456,-14.193633797013735,-8.684344352814376,
2026116260337482112,292.6803397469523,27.959624176962155,8.981563552668588,2.651682,1.3495245,4.915363569551001,-11.127208901450981,
2900546759663847168,84.91226376039107,-34.07421247244894,11.400786448797566,2.6532035,0.29323173,1.6847124451941056,-24.344562451710896,
